,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
OMN,4520471,0.02900096421217313,131098,0.000252,252.0
SUR,612984,0.182622155174613,111944,0.000215,215.0
ALB,2854710,0.0338233468355611,96555,0.000186,186.0
CRI,5153957,0.01760367801762186,90728,0.000175,175.0
VUT,319136,0.2500000000032627,79784,0.000154,154.0
PSE,5133392,0.014236647562938742,73082,0.000141,141.0
BEL,11611420,0.005960598587989807,69211,0.000133,133.0
MLT,526748,0.11154614202678204,58756,0.000113,113.0
NAM,2530151,0.021649491041898727,54776,0.000105,105.0
ATG,93220,0.543919563293457,50704,9.8e-05,98.0
KNA,47606,1.0,47606,9.2e-05,92.0
IMN,84263,0.5113905072212219,43091,8.3e-05,83.0
BRB,281200,0.13198605552315712,37114,7.1e-05,71.0
GNQ,1634466,0.02240403601899743,36618,7e-05,70.0
MNE,627859,0.056592575274407864,35532,6.8e-05,68.0
EST,1328701,0.021551473066210747,28635,5.5e-05,55.0
GIN,13531906,0.0016080399509519339,21759,4.2e-05,42.0
ARM,2790974,0.007570015615783632,21127,4.1e-05,41.0
ABW,106536,0.16888660565018654,17992,3.5e-05,35.0
LUX,639321,0.025102592073380947,16048,3.1e-05,31.0
LBY,6735277,0.0019160812080372125,12905,2.5e-05,25.0
NOR,5403021,0.0018839607946574688,10179,2e-05,20.0
MDV,521458,0.020070729311555624,10466,2e-05,20.0
TLS,1320942,0.007518722675740719,9931,1.9e-05,19.0
TCA,45114,0.20616482198238373,9300,1.8e-05,18.0
TCD,17179740,0.0004951823502779007,8507,1.6e-05,16.0
ISL,370335,0.02099105273373425,7773,1.5e-05,15.0
LVA,1873919,0.003954506479203701,7410,1.4e-05,14.0
LCA,179652,0.04027741402387619,7235,1.4e-05,14.0
SYC,106470,0.06318768113851547,6727,1.3e-05,13.0
BTN,777486,0.007121698930859566,5537,1.1e-05,11.0
BHR,1463265,0.003300419542938471,4829,9e-06,9.0
PYF,304032,0.0158568283659406,4820,9e-06,9.0
VGB,31122,0.10647450760006905,3313,6e-06,6.0
LIE,39039,0.06454295944422483,2519,5e-06,5.0
MCO,36686,0.059611717239022255,2186,4e-06,4.0
MSR,4417,0.2809847854077816,1241,2e-06,2.0
AND,79034,0.012049470096826553,952,2e-06,2.0
FRO,52888,0.006889590993523598,364,1e-06,1.0
GIB,32670,0.009392589330673218,306,1e-06,1.0
