,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
THA,71601103,0.06476761866360903,4637432,0.002435,2435.0
JOR,11148278,0.3928373847156763,4379460,0.002299,2299.0
SLE,8420641,0.48015240486711264,4043191,0.002123,2123.0
ISR,9291000,0.41409285739064217,3847336,0.00202,2020.0
KHM,16589023,0.23162576893810183,3842445,0.002017,2017.0000000000002
ERI,3620312,0.9595277905464172,3473789,0.001824,1824.0
BIH,3270943,1.0,3270943,0.001717,1717.0
HRV,4060135,0.7482102066278458,3037834,0.001595,1595.0
BEL,11611420,0.22925887256860733,2662021,0.001398,1398.0
KOR,51830139,0.049315362237393856,2556022,0.001342,1342.0
SSD,10748272,0.20667311269789934,2221378,0.001166,1166.0
AUT,8922082,0.23116786032915115,2062498,0.001083,1083.0
HTI,11447569,0.17079266626387835,1955160,0.001027,1027.0
SVK,5447622,0.3454497344791889,1881879,0.000988,988.0
MYS,33573874,0.04552776494529098,1528543,0.000803,803.0
TTO,1525663,1.0,1525663,0.000801,801.0
MOZ,32077072,0.0473367590457201,1518424,0.000797,797.0
SVN,2119410,0.6778689622879028,1436682,0.000754,754.0
LSO,2281454,0.6194529794156551,1413253,0.000742,742.0
PRT,10290103,0.11217084527015686,1154249,0.000606,606.0
MKD,2103330,0.5123015847057104,1077539,0.000566,566.0
JAM,2827694,0.354860482388176,1003436,0.000527,527.0
NZL,5129728,0.19541586004197598,1002430,0.000526,526.0
LKA,21773441,0.04541978519409895,988945,0.000519,519.0
LBN,5592631,0.1763219377025962,986103,0.000518,518.0
GEO,3757980,0.2304124990478158,865885,0.000455,455.0
CAF,5457154,0.15324178151786327,836264,0.000439,439.0
FIN,5535992,0.1470677386969328,814165,0.000427,427.0
SAU,35950396,0.02021637826692313,726786,0.000382,382.0
KWT,4250114,0.14457281678915024,614450,0.000323,323.0
TUR,84775404,0.007208551047369838,611107,0.000321,321.0
VEN,28199866,0.01988306804560125,560699,0.000294,294.0
MDA,3061506,0.1764654740691185,540250,0.000284,284.0
RWA,13461888,0.03960008267313242,533091,0.00028,280.0
SUR,612984,0.7368707694113255,451689,0.000237,237.0
BGR,6885868,0.06313852267339826,434763,0.000228,228.0
BHS,407906,1.0,407906,0.000214,214.0
BLZ,400031,1.0,400031,0.00021,210.0
OMN,4520471,0.08492187430238118,383886,0.000202,202.0
BOL,12079472,0.03132425155490637,378380,0.000199,199.0
FJI,924610,0.3454245626926422,319383,0.000168,168.0
MLT,526748,0.5328253172338009,280664,0.000147,147.0
DNK,5854240,0.039794822223484516,232968,0.000122,122.0
CRI,5153957,0.03642335733457003,187724,9.9e-05,99.0
BRB,281200,0.6554861310869455,184322,9.7e-05,97.0
EST,1328701,0.11309544369578362,150270,7.9e-05,79.0
ALB,2854710,0.05196367669850588,148341,7.8e-05,78.0
MNE,627859,0.22591023333370686,141839,7.4e-05,74.0
PSE,5133392,0.02440090916934423,125259,6.6e-05,66.0
TLS,1320942,0.09013593848794699,119064,6.3e-05,63.0
NAM,2530151,0.047625132370740175,120498,6.3e-05,63.0
GNQ,1634466,0.07113880361430347,116273,6.1e-05,61.0
NOR,5403021,0.018798204604536295,101567,5.3e-05,53.0
ABW,106536,0.8878897093236446,94592,5e-05,50.0
ATG,93220,1.0,93220,4.9e-05,49.0
IMN,84263,1.0,84263,4.4e-05,44.0
LUX,639321,0.12750206142663956,81514,4.3e-05,43.0
VUT,319136,0.2500000000524088,79784,4.2e-05,42.0
LCA,179652,0.4227502793073654,75947,4e-05,40.0
MDV,521458,0.0938173308968544,48921,2.6e-05,26.0
KNA,47606,1.0,47606,2.5e-05,25.0
TCA,45114,1.0,45114,2.4e-05,24.0
SYC,106470,0.4103378374129534,43688,2.3e-05,23.0
LVA,1873919,0.01914855372160673,35882,1.9e-05,19.0
BTN,777486,0.04766659589949995,37060,1.9e-05,19.0
ISL,370335,0.09805625630542636,36313,1.9e-05,19.0
VGB,31122,0.7547211609780788,23488,1.2e-05,12.0
PYF,304032,0.051795118662994355,15747,8e-06,8.0
MCO,36686,0.3803495727479458,13953,7e-06,7.0
LIE,39039,0.33258180879056454,12983,7e-06,7.0
AND,79034,0.13039658032357693,10305,5e-06,5.0
MSR,4417,1.0,4417,2e-06,2.0
FRO,52888,0.06095417682081461,3223,2e-06,2.0
